Source,Additional_Lng,f6,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,D1,D2,D3,y,Location_Available,Wind_D_Calm,Wind_D_Variable,Wind_D_Sin,Wind_D_Cos,Record_Delay_Time,is_holiday,has_sensitive_word,Address_Freq,Address_Mean
2,0.789791,-0.687551,-0.51225513,1.2429166,-0.8525973,0.7176156,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0.6686071,-1.4168044,-0.57498276,0,0,0.46374872,-1.2511306
1,1.2100685,-0.42894667,-0.24789712,0.10479722,-0.5325725,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0.055601574,0.114938535,0.11413,0,0,-0.9998544,1.4165221
2,1.2534409,-0.687551,-1.0409712,0.82560617,-0.31922266,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1.6574624,0.114938535,-0.06109573,0,1,-1.1385201,-0.48405564
1,-1.3048798,2.0918415,-0.9969115,-2.361128,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0.055601574,0.114938535,-0.12777095,1,0,0.5851506,-0.60952514
2,-1.3553196,-0.687551,-0.7971684,1.110136,-0.6179125,0.14072216,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0,1,0.055601574,0.114938535,-0.26112136,1,0,-0.6780101,0.021386847
1,-1.0129206,2.0918415,-0.29195678,-2.4370027,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1.535528,0.74940723,-0.096466124,0,1,-1.7692647,-0.37640852
1,-1.637462,2.0918415,1.5585493,0.085828565,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,-1.4243248,0.74940723,-0.13021028,0,0,0.40457606,-0.39351797
1,-1.3205256,2.0918415,-0.7325535,-1.2799146,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,-0.557404,-1.4168044,-0.20095107,1,0,-0.49100605,-0.9096539
3,-1.3508075,-0.687551,-0.46819547,0.38932705,-0.6179125,-0.2613523,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,-1.4243248,-0.5195302,0.09136285,0,0,1.4506458,0.25236478
1,-1.3869457,-0.2766843,0.9417139,-1.1850713,0.10747705,2.3006148,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,-1.077085,1.2872838,-0.0058040856,0,0,-0.1469768,-0.53395826
1,0.75842285,0.59096944,0.23675925,-1.2230088,0.53417677,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.055601574,-1.5430081,0.102339864,1,0,-0.9998544,1.7145122
2,-0.671022,-0.687551,-1.8340452,0.503139,-0.36189264,0.4360127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-0.557404,1.6466814,0.21739526,0,0,0.3375086,-1.0843132
2,-0.17843808,-0.687551,-1.4815679,-0.25560725,0.96087646,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1.535528,0.74940723,-0.07695142,0,0,0.3487717,-0.7485396
2,1.0107527,-0.6633824,0.7214156,0.9014808,-0.5610388,0.46118397,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,0,0.055601574,0.114938535,-0.1050038,0,1,-0.35429278,0.6865178
2,-0.16616195,-0.687551,-0.64443415,1.3377599,2.0916307,1.762585,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1.6574624,0.114938535,-0.34405884,0,0,1.2151661,-0.49546194
2,0.9824783,-0.687551,-0.95285183,-0.12282666,1.3449062,0.8673156,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1.1882882,-1.0574068,-0.44976348,0,0,0.43372455,-0.9046636
2,1.2139032,-0.687551,-0.7766132,0.56004494,1.1742263,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1.535528,-0.5195302,0.34383425,0,0,-0.94208086,-0.67225987
1,1.0102963,2.0918415,-0.4241358,0.6548883,1.600926,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-1.5462592,0.114938535,0.23772308,0,0,-0.54416126,-0.83337414
1,1.0571778,-0.58120906,0.16801234,0.47339046,0.09921932,0.21880911,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0.20499317,-0.09084589,-0.0033535217,0,0,-1.2383204,0.033506062
1,0.08065655,2.0918415,0.1486399,1.3946658,0.10747705,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1.1882882,1.2872838,-0.3473113,0,0,-0.5562941,2.117298
1,1.2329942,2.0918415,0.7214156,0.6169509,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-0.557404,-1.4168044,-0.01718766,0,1,-1.3006012,1.4136705
1,-0.05094121,-0.13892314,0.5011172,0.16170318,-0.10587281,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0.6686071,1.6466814,0.5922401,0,0,0.7602258,-0.1960461
2,-0.993422,-0.687551,-1.7899855,-2.4370027,0.96087646,-0.6422932,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1.535528,-0.5195302,-0.36723256,0,0,1.0128493,-0.07841844
2,0.68466705,-0.687551,0.63329625,0.6359196,0.10747705,2.3006148,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,-1.4243248,0.74940723,0.30561796,0,0,-0.72618526,-1.4521669
2,1.0590696,-0.687551,-0.11571811,0.74973154,0.36349687,1.0597471,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1.1882882,-1.0574068,-0.35503587,0,0,-0.9962626,-1.2582595
